A ambição, cerra o coração
Ladrão que rouba ladrão, tem cem anos de perdão
Livra-te do homem que não fala, e do cão que não ladra
Longe da vista, longe do coração
Luar de Janeiro não tem parceiro, mas lá vem o de Agosto que lhe dá pelo rosto
Mais depressa se apanha um mentiroso, que um coxo
Mais vale prevenir, que remediar
Mais vale só, que mal acompanhado
Mais vale quem Deus ajuda, do que quem muito madruga
Mais vale tarde, do que nunca
Mais vale um gosto na vida, que três vinténs na algibeira
Mais vale um pássaro na mão, que dois a voar
Mais vale um toma, que duas te darei
Mal haja quem de mim mal diz, mais quem mo traz ao nariz
Morrer por morrer morra o meu pai, que é mais velho
Morreu o bicho, acabou-se a peçonha
Muita parra, pouca uva
Muitas vezes se perde por preguiça, o que se ganha por justiça
Muito riso, pouco siso
Muitos poucos, fazem muito
Não contes os pintos, senão depois de nascidos
Não deixes para amanhã, o que podes fazer hoje
Não desejes mal a ninguém, que o teu mal pelo caminho vem
Não é com vinagre, que se apanham moscas
Não é o mel, para a boca do asno
Não é por grandes orelhas, que o burro vai à feira
Não guardes para amanhã, o que podes fazer hoje
Não há ausentes sem culpas, nem presentes sem desculpas
Não há bem que sempre dure, nem mal que não acabe
Não há fumo, sem fogo
Não há mal que sempre dure, nem bem que sempre perdure
Não há pior cego, que aquele que não quer ver
Não julgues mal de ninguém, nem para mal nem para bem
Não peças a quem pediu, nem sirvas a quem serviu
Não pescam trutas, com as bragas enxutas
Não se deve falar em corda, em casa de enforcado
Não se deve gastar cera, com ruins defuntos
Não serás amado se de ti, só tens cuidado
Na prisão e no hospital, vês quem te quer bem e quem te quer mal
Na terra onde fores viver, faz como vires fazer
Nem rei nem papa, à morte escapa
Nem sempre aquele que dança, é o que paga a música
Nem tanto ao mar, nem tanto à terra
Nem todo o mato, é orégão
Nem tudo o que luz, é ouro
Nem tudo o que luz é ouro, nem tudo o que alveja é prata
Nenhum dedo faz mão, nem uma andorinha Verão
Ninguém é profeta, na sua terra
No arrumar da lasca, se vê o pescador
No comer e no coçar, o mal é começar
Noiva serôdia, nem miolo nem côdea
No vinho, está a verdade
Numa porta se põe o ramo, e noutra se vende o vinho
Nunca falta um chinelo velho, para um pé manco
O bom vinho, por si fala
Obra de prudente é podendo fazer mal, não o fazer
O casamento e a mortalha, no Céu se talha
O comer e o coçar o mal, vai do começar
O dinheiro é bom servidor, mas mau senhor
O fruto proibido, é o mais apetecido
O hábito, não faz o monge
O homem põe, e Deus dispõe
Olho do amo, engorda o cavalo
O louvor em boca própria, é vitupério
O mal vem às braçadas, e sai às polegadas
O mundo nos vê Deus é que nos conhece, ninguém é como parece
O pouco com Deus é muito, e o muito sem Deus é nada
O prometido, é devido
O que se aprende no berço, dura até à sepultura
O sábio, só deve ter a si por guardião do seu segredo
O segredo melhor guardado, é o que a ninguém é revelado
O seguro, morreu de velho
Os lobos, não se comem uns aos outros
O Sol quando nasce, é para todos
Outros tempos, outros ventos
Pai não tiveste mãe não temeste, diabo te fizeste
Palavras, leva-as o vento
Para grandes males, grandes remédios
Parar, é morrer
Patrão fora, dia santo na loja
Pecado confessado, é meio perdoado
Pela boca, morre o peixe
Pelo dedo, se conhece o gigante
Pelo São Martinho, vai à pipa e prova o vinho
Pelos domingos, se tiram os dias santos
Pelos frutos, se conhece a árvore
Pobreza, não é vileza
Por fora cordas de viola, por dentro pão bolorento
Pouco manda, quem quer que muito lhe obedeçam
Pratica, e serás mestre
Presunção e água benta, cada um toma a que quer
Quanto mais alta a berlinda, maior é o trambolhão
Quanto mais alto se sobe, maior é o trambolhão
Quem a boa árvore se chega, boa sombra o cobre
Quem abrolhos semeia, espinhos colhe
Quem bem ama, bem castiga
Quem bem faz a cama, bem nela se deita
Quem cabritos vende e cabras não tem, de algum lado lhe vem
Quem cala, consente
Quem com ferros mata, com ferros morre
Quem com tolo se aconselha, mais tolo é que ele
Quem conta um conto, acrescenta-lhe um ponto
Quem corre por gosto, não cansa
Quem dá aos pobres, empresta a Deus
Quem dá e torna a tirar, ao Inferno vai parar
Quem desdenha, quer comprar
Quem empresta, não melhora
Quem espera por sapatos de defunto, toda a vida anda descalço
Quem mais jura, mais mente
Quem muitas estacas tancha, alguma lhe pega
Quem muito dorme, pouco aprende
Quem muito fala, pouco acerta
Quem não aparece, esquece
Quem não arrisca, não petisca
Quem não deve, não teme
Quem não quer ser lobo, não lhe veste a pele
Quem não tem padrinhos, morre mouro
Quem não tem vergonha, todo o mundo é seu
Quem nasceu para vintém, nunca chega a pataco
Quem nunca se aventurou, não perdeu nem ganhou
Quem o feio ama, bonito lhe parece
Quem porfia, mata caça
Quem procura, sempre encontra
Quem quer bolota, que trepe
Quem quer os fins, quer os meios
Quem quer vai, quem não quer manda
Quem quiser bom alhal, semeia-o no Natal
Quem sabe calar, evita guerrear
Quem sai aos seus, não degenera
Quem se engana, aprende
Quem segredos quer saber, busque-os na mesa e no prazer
Quem semeia ventos, colhe tempestades
Quem se mete por atalhos, mete-se em trabalhos
Quem se não sente, não é filho de boa gente
Quem serve a dois senhores, a algum há-de enganar
Quem seu inimigo poupa, nas mãos lhe morre
Quem te avisa, teu amigo é
Quem tem boca, vai a Roma
Quem tem medo, compra um cão
Quem tem padrinhos, nunca morre na cadeia
Quem tem telhados de vidro, não atira pedras
Quem tem vagar, faz colheres de pau
Quem tiver mando, não tema para ser obedecido
Quem torto nasce, tarde ou nunca se endireita
Quem tudo aperta, nada abarca
Quem tudo quer, tudo perde
Quem tudo receia, nada teme
Quem vai à guerra, dá e leva
Quem vai muito depressa, pode quebrar a cabeça
Quem vê caras, não vê corações
Querer, é poder
Rei morto, rei posto
Roma e Pavia, não se fizeram num dia
Ralham as comadres, descobrem-se as verdades
Santos de ao pé da porta, não fazem milagres
Se depois da chuva cai vento, colhe a retranca e põe-te atento
Segue a razão, ainda que a uns agrade, a outros não
Se não fosse o mau gosto, que seria do amarelo?
Se queres conhecer o vilão, mete-lhe a vara na mão
Tal pai, tal filho
Tantas vezes vai o cântaro à fonte, que lá deixa ficar a asa
Tenda, é preciso quem a atenda
Todo o burro come palha, a questão é saber-lha dar
Todos falam e murmuram, e ninguém olha para si
Todos os pássaros comem trigo, e quem paga é o pardal
Toma em rapaz bom caminho, segui-lo-ás em velhinho
Trabalhar para aquecer, é melhor morrer de frio
Unha mão, fia dedo
Uns comem os figos, a outros rebenta-lhes a boca
Usa, e serás mestre
Vão-se os anéis, e fiquem os dedos
Vaso ruim, não tem quebra
Vozes de burro, não chegam ao céu
